Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Indiana,Indianapolis,1,1,1995,33.7
North America,US,Indiana,Indianapolis,1,2,1995,19.9
North America,US,Indiana,Indianapolis,1,3,1995,20.2
North America,US,Indiana,Indianapolis,1,4,1995,10.9
North America,US,Indiana,Indianapolis,1,5,1995,8.3
North America,US,Indiana,Indianapolis,1,6,1995,23.8
North America,US,Indiana,Indianapolis,1,7,1995,28.0
North America,US,Indiana,Indianapolis,1,8,1995,22.4
North America,US,Indiana,Indianapolis,1,9,1995,25.2
North America,US,Indiana,Indianapolis,1,10,1995,28.7
North America,US,Indiana,Indianapolis,1,11,1995,40.9
North America,US,Indiana,Indianapolis,1,12,1995,56.2
North America,US,Indiana,Indianapolis,1,13,1995,59.4
North America,US,Indiana,Indianapolis,1,14,1995,55.2
North America,US,Indiana,Indianapolis,1,15,1995,38.0
North America,US,Indiana,Indianapolis,1,16,1995,32.8
North America,US,Indiana,Indianapolis,1,17,1995,35.3
North America,US,Indiana,Indianapolis,1,18,1995,44.7
North America,US,Indiana,Indianapolis,1,19,1995,46.1
North America,US,Indiana,Indianapolis,1,20,1995,34.1
North America,US,Indiana,Indianapolis,1,21,1995,24.8
North America,US,Indiana,Indianapolis,1,22,1995,22.6
North America,US,Indiana,Indianapolis,1,23,1995,19.5
North America,US,Indiana,Indianapolis,1,24,1995,17.0
North America,US,Indiana,Indianapolis,1,25,1995,16.1
North America,US,Indiana,Indianapolis,1,26,1995,15.5
North America,US,Indiana,Indianapolis,1,27,1995,24.1
North America,US,Indiana,Indianapolis,1,28,1995,30.8
North America,US,Indiana,Indianapolis,1,29,1995,20.4
North America,US,Indiana,Indianapolis,1,30,1995,20.4
North America,US,Indiana,Indianapolis,1,31,1995,26.7
North America,US,Indiana,Indianapolis,2,1,1995,37.4
North America,US,Indiana,Indianapolis,2,2,1995,35.7
North America,US,Indiana,Indianapolis,2,3,1995,30.7
North America,US,Indiana,Indianapolis,2,4,1995,26.5
North America,US,Indiana,Indianapolis,2,5,1995,16.5
North America,US,Indiana,Indianapolis,2,6,1995,9.6
North America,US,Indiana,Indianapolis,2,7,1995,12.2
North America,US,Indiana,Indianapolis,2,8,1995,11.2
North America,US,Indiana,Indianapolis,2,9,1995,16.5
North America,US,Indiana,Indianapolis,2,10,1995,32.2
North America,US,Indiana,Indianapolis,2,11,1995,19.7
North America,US,Indiana,Indianapolis,2,12,1995,6.3
North America,US,Indiana,Indianapolis,2,13,1995,16.5
North America,US,Indiana,Indianapolis,2,14,1995,24.1
North America,US,Indiana,Indianapolis,2,15,1995,36.5
North America,US,Indiana,Indianapolis,2,16,1995,32.1
North America,US,Indiana,Indianapolis,2,17,1995,30.9
North America,US,Indiana,Indianapolis,2,18,1995,35.1
North America,US,Indiana,Indianapolis,2,19,1995,40.6
